Unnamed: 0,Authorization Group,Bus. Transac. Type,Calculate Tax,Cash Flow-Relevant Doc.,Cleared Item,Clearing Date,Clearing Entry Date,Clearing Fiscal Year,Country Key,Currency,Debit/Credit ind,Transaction Value,Document Is Back-Posted,Exchange rate,Fiscal Year.1,Fiscal Year.2,Posting period.1,Ref. Doc. Line Item
62,60,RFBU,,False,Not Selected,,,,US,USD,S,623782.0,X,,2009.0,2018,12,4
63,60,RFBU,,False,Not Selected,,,,US,USD,H,-202515.16,X,,2017.0,2018,12,2
64,60,RFBU,,False,Not Selected,,,,US,USD,H,-23129.73,X,,2017.0,2018,12,5
65,60,RFBU,,False,Not Selected,,,,US,USD,H,-89594.91,X,,2016.0,2018,12,2
66,60,RFBU,,False,Not Selected,,,,US,USD,S,123036.84,X,,2017.0,2018,12,3
67,60,RFBU,,False,Not Selected,,,,US,USD,H,-1241.61,X,,2017.0,2018,12,2
68,60,RFBU,,False,Not Selected,,,,US,USD,H,-148003.0,X,,2017.0,2018,12,7
69,60,RFBU,,False,Not Selected,,,,US,USD,H,-21705.0,X,,2018.0,2018,12,2
70,60,RFBU,,False,Not Selected,,,,US,USD,H,-24999.0,X,,2008.0,2018,12,3
71,60,RFBU,,False,Not Selected,,,,US,USD,H,-1343.98,X,,2018.0,2018,12,5
72,60,RFBU,,False,Not Selected,,,,US,USD,H,-1282239.96,X,,2017.0,2018,12,2
73,60,RFBU,,False,Not Selected,,,,US,USD,S,23720.07,X,,2016.0,2018,12,1
74,60,RFBU,,False,Not Selected,,,,US,USD,H,-206021.7,X,,2018.0,2018,12,1
75,60,RFBU,,False,Not Selected,,,,US,USD,S,624573.03,X,,2009.0,2018,12,3
76,60,RFBU,,False,Not Selected,,,,US,USD,H,-6708.58,X,,2018.0,2018,12,6
77,60,RFBU,,False,Not Selected,,,,US,USD,H,-5166.0,X,,2018.0,2018,12,1
78,60,RFBU,,False,Not Selected,,,,US,USD,S,114578.97,X,,2017.0,2018,12,1
79,60,RFBU,,False,Not Selected,,,,US,USD,H,-103528.38,X,,2017.0,2018,12,4
80,60,RFBU,,False,Not Selected,,,,US,USD,H,-1376.49,X,,2018.0,2018,12,1
81,60,RFBU,,False,Not Selected,,,,US,USD,H,-68503.94,X,,2018.0,2018,12,1
82,60,RFBU,,False,Not Selected,,,,US,USD,S,26291357.62,X,,2009.0,2018,12,4
83,60,RFBU,,False,Not Selected,,,,US,USD,H,-17109.22,X,,2017.0,2018,12,1
84,60,RFBU,,False,Not Selected,,,,US,USD,S,53676.82,X,,2017.0,2018,12,6
85,60,RFBU,,False,Not Selected,,,,US,USD,S,747639.0,X,,2017.0,2018,12,1
86,60,RFBU,,False,Not Selected,,,,US,USD,H,-2743.56,X,,2018.0,2018,12,2
87,60,RFBU,,False,Not Selected,,,,US,USD,S,29356.0,X,,2017.0,2018,12,1
88,60,RFBU,,False,Not Selected,,,,US,USD,H,-22593.19,X,,2018.0,2018,12,1
89,60,RFBU,,False,Not Selected,,,,US,USD,S,92517.0,X,,2018.0,2018,12,1
